id,artist,album,title,key,time_signature,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,num_played,rate
spotify:track:34VD6GZycwcLUMXwpIur9M,"Milky Chance, Jack Johnson",Don't Let Me Down,Don't Let Me Down,0,4,0.854,0.675,-7.32,0.06,0.346,9.88e-05,0.12,0.73,109.955,200391.0,2,5.0000
spotify:track:4XtjTuZHA6F9NIblpvpXOf,Milky Chance,Sadnecessary,Down By The River,9,4,0.688,0.697,-7.955,0.0485,0.753,6.21e-05,0.109,0.46,114.03,241053.0,1,8.0000
spotify:track:7EuTFqQnMZoIaGisMRCtf6,Milky Chance,Sadnecessary,Flashed Junk Mind,11,4,0.839,0.84,-8.721,0.0474,0.389,0.0319,0.114,0.904,117.98,262000.0,2,7.0000
spotify:track:0L87MffumRNWrY2SNUFcvs,Milky Chance,Blossom (Deluxe),Cocoon,10,4,0.743,0.659,-6.755,0.0343,0.0998,0.00028,0.0622,0.804,114.033,255160.0,1,6.0000
spotify:track:7jYcqOZTwCefmIPTyRelsX,Milky Chance,Mind The Moon,The Game,5,4,0.723,0.768,-5.281,0.053,0.207,0.00082,0.0806,0.947,75.023,213280.0,1,3.0000
spotify:track:0fHZirprNSLEc1OLs1OiwL,Milky Chance,Blossom (Deluxe),Blossom,4,4,0.75,0.676,-6.651,0.0281,0.0295,3.15e-05,0.0749,0.851,119.99,254587.0,1,5.0000
spotify:track:4JQQFICIr3W7dBkrpY95eF,Milky Chance,Sadnecessary,Fairytale,7,4,0.756,0.806,-9.188,0.0309,0.0741,0.162,0.101,0.938,106.023,256000.0,1,5.0000
spotify:track:3YuXIIgbfThb5RtNVKagaS,"Milky Chance, Tash Sultana",Mind The Moon,Daydreaming,7,4,0.697,0.771,-6.222,0.0634,0.535,0.00274,0.163,0.662,83.986,199507.0,1,3.0000
spotify:track:5MX4VZkiJafcUk5gCZ0cil,Milky Chance,Mind The Moon,Fado,3,4,0.821,0.54,-7.001,0.0683,0.203,0.000657,0.102,0.587,114.021,250400.0,1,7.0000
spotify:track:5QLHGv0DfpeXLNFo7SFEy1,The Smashing Pumpkins,Mellon Collie And The Infinite Sadness (Deluxe Edition),1979 - Remastered 2012,3,4,0.767,0.787,-9.897,0.0331,0.0163,0.583,0.0513,0.964,126.879,266200.0,2,8.0000
spotify:track:6GtX0jaNL8IjVQfrDBx81z,The Smashing Pumpkins,Mellon Collie And The Infinite Sadness (Deluxe Edition),Bullet With Butterfly Wings - Remastered 2012,10,4,0.404,0.72,-9.18,0.0623,5.59e-05,0.836,0.0466,0.475,121.864,258467.0,2,8.0000
spotify:track:7bu0znpSbTks0O6I98ij0W,The Smashing Pumpkins,Mellon Collie And The Infinite Sadness (Deluxe Edition),"Tonight, Tonight - Remastered 2012",6,4,0.277,0.67,-9.381,0.0376,6.28e-05,0.751,0.237,0.217,148.342,254627.0,2,8.0000
spotify:track:7A8caPxvrT8ZgLvQPPUCcj,The Smashing Pumpkins,Siamese Dream (2011 - Remaster),Disarm - Remastered,4,4,0.527,0.418,-10.205,0.0277,0.142,0.781,0.139,0.217,129.517,196905.0,2,9.0000
spotify:track:0F2LiyHp9E0pAanpfnzHNp,The Smashing Pumpkins,Siamese Dream (2011 - Remaster),Cherub Rock - Remastered 2011,9,4,0.371,0.866,-7.426,0.039,5.91e-06,0.58,0.196,0.447,87.254,298253.0,2,7.0000
spotify:track:3cahGAUUQ0n55EjLBs2Wjo,The Smashing Pumpkins,Siamese Dream (2011 - Remaster),Today - Remastered,8,4,0.457,0.825,-7.611,0.0268,3.29e-05,0.578,0.0548,0.414,82.539,201173.0,2,8.0000
spotify:track:4YFcGTdgmEuw8xTO4XrxbB,The Smashing Pumpkins,Mellon Collie And The Infinite Sadness (Deluxe Edition),Zero - Remastered 2012,8,4,0.438,0.728,-7.105,0.0458,3.49e-05,0.57,0.0509,0.701,128.04,160173.0,2,7.0000
